URS0000000055_9606	HSALNG0050810
URS00000000C9_9606	HSALNG0043383
URS00000000FD_9606	HSALNG0023447
URS0000000185_9606	HSALNG0104603
URS0000000351_9606	HSALNG0060752
URS00000005D1_9606	HSALNG0122334
URS0000000787_9606	HSALNG0134219
URS0000000AA1_9606	HSALNG0116003
URS0000000C0D_9606	HSALNG0145258
URS0000000CF3_9606	HSALNG0018258
