DB00001	46507011
DB00002	46507042
DB00003	46507792
DB00004	46506950
DB00005	46506732
DB00006	46507415
DB00007	46507635
DB00008	46504860
DB00009	46507035
DB00010	46507399
DB00011	46506227
DB00012	46504480
DB00013	46506299
DB00014	46507336
DB00015	46506092
DB00016	46508122
DB00017	46506061
DB00018	46508902
DB00019	46505853
DB00020	46507000
DB00022	46506669
DB00023	46507633
DB00024	46505696
DB00025	46506209
DB00026	46507944
DB00027	46507412
DB00028	46508774
DB00029	46504487
DB00030	46506231
DB00031	46508657
DB00032	46504503
DB00033	46507194
DB00034	46506712
DB00036	46507544
DB00038	46506470
DB00039	46506691
DB00040	46504732
DB00041	46508054
DB00042	46504750
DB00043	46507002
DB00044	46507624
DB00045	46504444
DB00046	46507498
DB00047	46507981
DB00048	46506485
DB00049	46504490
DB00050	46505494
DB00051	46504982
DB00052	46506010
DB00053	46508744
DB00054	46505910
DB00055	46505655
DB00056	46505767
DB00057	46505873
DB00058	46506364
DB00059	46505366
DB00060	46504899
DB00061	46508490
DB00062	46509098
DB00063	46505459
DB00065	46505602
DB00066	46508818
DB00067	46505933
DB00068	46504458
DB00069	46505985
DB00070	46505087
DB00071	46508925
DB00072	46507516
DB00073	46505820
DB00074	46505169
DB00075	46507837
DB00076	46506432
DB00078	46506112
DB00080	46504551
DB00081	46506662
DB00082	46505507
DB00083	46505347
DB00085	46504728
DB00086	46505625
DB00087	46507379
DB00088	46507500
DB00089	46506263
DB00090	46505612
DB00091	46508198
DB00092	46505772
DB00093	46507522
DB00094	46507385
DB00095	46505252
DB00097	46506863
DB00098	46506920
DB00099	46505833
DB00100	46508858
DB00102	46508246
DB00103	46508538
DB00104	46504600
DB00105	46507075
DB00106	46508237
DB00107	46506775
DB00108	46505849
DB00109	46506067
DB00110	46506637
DB00111	46504469
DB00112	46504473
DB00113	46507781
DB00114	46506428
DB00115	46509031
DB00116	46504756
DB00117	46507001
DB00118	46505280
DB00119	46505692
DB00120	46505708
DB00121	46508694
DB00122	46508132
DB00123	46504770
DB00125	46507180
DB00126	46505070
DB00127	46507215
DB00128	46507997
DB00129	46505239
DB00130	46505866
DB00131	46507628
DB00132	46507620
DB00133	46506450
DB00134	46505750
DB00135	46507885
DB00136	46508162
DB00137	46508835
DB00138	46506670
DB00139	46505859
DB00140	46507342
DB00141	46509139
DB00142	46505816
DB00143	46504598
DB00144	46505650
DB00145	46508219
DB00146	46505690
DB00147	46506282
DB00148	46504868
DB00149	46507163
DB00150	46508329
DB00151	46506553
DB00152	46507321
DB00153	46505053
DB00154	46508866
DB00155	46506583
DB00156	46506798
DB00157	46504879
DB00158	46508092
DB00159	46506267
DB00160	46504866
DB00161	46504886
DB00162	46508191
DB00163	46506524
DB00165	46508560
DB00166	46504826
DB00167	46506864
DB00168	46507278
DB00169	46506365
DB00170	46505447
DB00171	46507614
DB00172	46506858
DB00173	46507319
DB00174	46507804
DB00175	46504851
DB00176	46507588
DB00177	46509000
DB00178	46506390
DB00179	46508042
DB00180	46507894
DB00181	46508181
DB00182	46506414
DB00183	46507747
DB00184	46506924
DB00185	46507202
DB00186	46508468
DB00187	46506146
DB00188	46508736
DB00189	46505006
DB00190	46508775
DB00191	46508515
DB00192	46506714
DB00193	46506256
DB00194	46506630
DB00195	46506041
DB00196	46505735
DB00197	46504655
DB00198	46507602
DB00199	46508487
DB00200	46505751
DB00201	46506408
DB00202	46506023
DB00203	46508371
DB00204	46509127
DB00205	46505987
DB00206	46505863
DB00207	46507743
DB00208	46504438
DB00209	46506398
DB00210	46505019
DB00211	46507373
DB00212	46507286
DB00213	46504622
DB00214	46504760
DB00215	46508746
DB00216	46506380
DB00217	46507605
DB00218	46508509
DB00219	46508840
DB00220	46507719
DB00221	46505384
DB00222	46508842
DB00223	46504519
DB00224	46506442
DB00225	46504789
DB00226	46506457
DB00227	46508223
DB00228	46505314
DB00229	46506679
DB00230	46504934
DB00231	46506604
DB00232	46509197
DB00233	46505572
DB00234	46504845
DB00235	46507838
DB00236	46506548
DB00237	46505051
DB00238	46506789
DB00239	46504752
DB00240	46508296
DB00241	46505876
DB00242	46504588
DB00243	46505145
DB00244	46509142
DB00245	46505349
DB00246	46507627
DB00247	46506117
DB00248	46508571
DB00249	46507573
DB00250	46505300
DB00251	46505257
DB00252	46508847
DB00253	46506584
DB00254	46506491
DB00255	46507453
DB00256	46505518
DB00257	46507927
DB00258	46507985
DB00259	46508306
DB00260	46506865
DB00261	46508863
DB00262	46506980
DB00263	46505342
DB00264	46506211
DB00265	46508599
DB00266	46505536
DB00267	46506246
DB00268	46507918
DB00269	46508811
DB00270	46505034
DB00271	46504704
DB00272	46506808
DB00273	46508334
DB00274	46504461
DB00275	46508275
DB00276	46507539
DB00277	46505949
DB00278	46507650
DB00279	46506352
DB00280	46508226
DB00281	46505060
DB00282	46504823
DB00283	46506492
DB00284	46508248
DB00285	46504593
DB00286	46505680
DB00287	46507637
DB00288	46506705
DB00289	46506160
DB00290	46509116
DB00291	46506842
DB00292	46507012
DB00293	46504880
DB00294	46505321
DB00295	46505161
DB00296	46504712
DB00297	46506768
DB00298	46508859
DB00299	46506498
DB00300	46508131
DB00301	46508276
DB00302	46508089
DB00303	46506508
DB00304	46505739
DB00305	46508353
DB00306	46507821
DB00307	46509119
DB00308	46507904
DB00309	46504548
DB00310	46505541
DB00311	46509023
DB00312	46508399
DB00313	46505925
DB00314	46508514
DB00315	46506452
DB00316	46506142
DB00317	46508649
DB00318	46507764
DB00319	46504757
DB00320	46507711
DB00321	46508798
DB00322	46508645
DB00323	46504932
DB00324	46505984
DB00325	46508965
DB00326	46507233
DB00327	46508700
DB00328	46508291
DB00330	46504788
DB00331	46507752
DB00332	46506138
DB00333	46505722
DB00334	46507666
DB00335	46506915
DB00336	46506509
DB00337	46505748
DB00338	46509065
DB00339	46507478
DB00340	46508970
DB00341	46508368
DB00342	46507007
DB00343	46505667
DB00344	46505128
DB00345	46507106
DB00346	46508512
DB00347	46504478
DB00348	46507380
DB00349	46506115
DB00350	46508344
DB00351	46505827
