CHEMBL1000	DB00341
CHEMBL100014	DB05103
CHEMBL100109	DB07658
CHEMBL1002	DB13139
CHEMBL100239	DB04163
CHEMBL100259	DB02745
CHEMBL1004	DB00366
CHEMBL1005	DB00899
CHEMBL1006	DB01143
CHEMBL100622	DB08960
