17676	DB01063
6839	DB00832
13765	DB01493
154059	DB01591
5479529	DB01112
60919	DB01349
3823	DB01026
11876263	DB01134
54682938	DB01301
439280	DB02959
3373	DB01205
41781	DB00214
2833	DB01394
49852292	DB00569
11597698	DB01255
5453	DB04572
5978	DB00541
43507	DB00923
1188	DB02134
1201549	DB00245
2581	DB00821
3032285	DB01154
5282443	DB00427
6031	DB03435
8988	DB02853
146570	DB01175
2218	DB01429
37367	DB01489
38103	DB01333
47499	DB04570
4883	DB01297
5353853	DB00239
11333	DB00581
15459	DB00660
2583	DB00521
2727	DB00672
3380	DB01544
3475	DB01120
3869	DB00598
4162	DB01107
4178	DB00379
4493	DB00665
4845	DB01291
5284604	DB01192
6435415	DB01597
6914273	DB01219
8275	DB00306
6432	DB00556
2197	DB01125
21704	DB00194
2216	DB00964
23665772	DB00464
2484	DB01091
26987	DB00283
2801	DB01242
3180	DB00645
4058	DB00454
4114	DB00553
4409	DB00461
4659569	DB00323
4768	DB00925
4873	DB00761
4891	DB01058
4926	DB00420
5284585	DB00447
5403	DB00871
5665	DB01080
6540478	DB00957
68844	DB01194
73415752	DB01574
92253	DB01002
9642	DB01047
10917	DB00583
2478	DB01008
16362	DB01100
16682987	DB01375
19150	DB00689
1989	DB00414
2145	DB00357
32798	DB01013
3759	DB01247
3784	DB00270
39468	DB01210
440473	DB01055
5735	DB01198
71384	DB00380
7697	DB00856
8249	DB00914
86	DB03644
8944	DB00913
2368	DB00217
24087	DB00971
10180	DB04967
104838	DB01598
1054	DB00165
1103	DB00127
110635	DB00820
1130	DB00152
115237	DB01267
119607	DB00580
