DB00001	D000602
DB00002	D000602
DB00003	D000602
DB00004	D036002
DB00006	D000602
DB00007	D000305
DB00008	D000276
DB00010	D000602
DB00011	D000276
DB00012	D000602
DB00014	D000305
DB00016	D000602
DB00017	D000602
DB00019	D000276
DB00020	D000276
DB00022	D000276
DB00023	D000581
DB00025	D000602
DB00027	D000602
DB00028	D000602
DB00032	D000602
DB00033	D000602
DB00034	D000276
DB00036	D000602
DB00038	D000276
DB00039	D000602
DB00040	D000602
DB00041	D000276
DB00042	D065087
DB00049	D006074
DB00050	D000602
DB00054	D000602
DB00055	D000602
DB00056	D000602
DB00057	D000085
DB00058	D000209
DB00059	D000438
DB00060	D000276
DB00061	D000276
DB00062	D000418
DB00063	D000602
DB00066	D000602
DB00067	D000602
DB00068	D000276
DB00069	D000276
DB00070	D004798
DB00072	D000602
DB00073	D000602
DB00074	D000602
DB00075	D000602
DB00076	D000931
DB00078	D000602
DB00081	D000602
DB00082	D000172
DB00083	D065087
DB00087	D000602
DB00089	D000602
DB00092	D000602
DB00093	D000602
DB00094	D000602
DB00095	D000602
DB00098	D000602
DB00099	D000602
DB00100	D001779
DB00102	D000143
DB00104	D000602
DB00105	D000276
DB00106	D000602
DB00107	D000602
DB00108	D000602
DB00109	D000602
DB00110	D000602
DB00111	D000602
DB00112	D000602
DB00113	D000602
DB00116	D001685
DB00117	D000596
DB00119	D019587
DB00120	D000596
DB00122	D000438
DB00123	D000596
DB00125	D000596
DB00126	D000144
DB00127	D000588
DB00128	D000596
DB00131	D000227
DB00132	D000066888
DB00133	D000596
DB00134	D000596
DB00135	D000596
DB00137	D000475
DB00138	D000143
DB00139	D000144
DB00141	D019587
DB00143	D000602
DB00144	D000438
DB00145	D000596
DB00147	D000066888
DB00148	D000578
DB00149	D000596
DB00150	D000596
DB00151	D000596
DB00154	D012898
DB00155	D000144
DB00156	D000596
DB00157	D000227
DB00160	D000409
DB00161	D000596
DB00162	D000276
DB00163	D000975
DB00167	D000596
DB00168	D000602
DB00170	D000933
DB00171	D000227
DB00172	D000144
DB00173	D019587
DB00174	D000596
DB00176	D000588
DB00179	D000700
DB00180	D000305
DB00182	D018663
DB00183	D000602
DB00185	D001337
DB00186	D014151
DB00187	D018663
DB00188	D000143
DB00189	D000438
DB00190	D000588
DB00191	D018663
DB00194	D000890
DB00195	D018663
DB00196	D058888
DB00198	D000081
DB00201	D000470
DB00202	D000144
DB00204	D000577
DB00205	D000890
DB00206	D018663
DB00207	D000900
DB00208	D010975
DB00209	D000146
DB00211	D018663
DB00213	D053799
DB00214	D000959
DB00215	D000588
DB00217	D018663
DB00218	D000900
DB00220	D019380
DB00221	D018663
DB00223	D000305
DB00225	D000085
DB00226	D018674
DB00229	D000577
DB00230	D000144
DB00231	D014151
DB00232	D000577
DB00233	D000146
DB00234	D018663
DB00235	D000588
DB00236	D000477
DB00237	D018680
DB00238	D019380
DB00239	D000890
DB00240	D000305
DB00241	D018680
DB00242	D015762
DB00243	D000081
DB00246	D058668
DB00249	D000890
DB00251	D000890
DB00253	D000305
DB00255	D000305
DB00257	D000890
DB00258	D000143
DB00259	D000577
DB00260	D000596
DB00263	D000577
DB00264	D018663
DB00265	D016573
DB00266	D015110
DB00267	D000577
DB00268	D018726
DB00269	D000970
DB00271	D000146
DB00273	D019440
DB00274	D000577
DB00276	D000166
DB00278	D000925
DB00288	D000305
DB00289	D018663
DB00290	D000602
DB00292	D000322
DB00293	D000963
DB00294	D000305
DB00295	D000470
DB00296	D000577
DB00298	D018663
DB00299	D000890
DB00300	D019380
DB00301	D000577
DB00302	D000146
DB00303	D000577
DB00304	D000305
DB00306	D018680
DB00307	D000475
DB00308	D000577
DB00309	D000470
DB00310	D000146
DB00311	D000577
DB00312	D000759
DB00313	D000144
DB00317	D000970
DB00318	D000470
DB00320	D058668
DB00321	D058668
DB00322	D000963
DB00323	D018726
DB00324	D000305
DB00325	D000143
DB00326	D000144
DB00327	D000470
DB00330	D000588
DB00333	D000700
DB00334	D058668
DB00335	D018663
DB00338	D053799
DB00339	D000900
DB00341	D018926
DB00342	D018680
