DOID:0050841	MESH:D020821
DOID:0050848	MESH:D012891
DOID:0050865	MESH:D002294
DOID:0050873	MESH:D008224
DOID:0050876	MESH:D016767
DOID:0050902	MESH:D008527
DOID:0050902	MESH:D018242
DOID:0050908	MESH:D009190
DOID:0060013	MESH:D053632
DOID:0060020	MESH:C538361
DOID:0060025	MESH:D017098
DOID:0060055	MESH:C562509
DOID:0060058	MESH:D008223
DOID:0060061	MESH:D016410
DOID:0060119	MESH:D010610
DOID:0060123	MESH:D012983
DOID:0060125	MESH:D006362
DOID:0060155	MESH:C531604
DOID:0060157	MESH:C531609
DOID:0060160	MESH:D014897
DOID:0060161	MESH:D055534
DOID:0060162	MESH:D020191
DOID:0060180	MESH:D003092
DOID:0060181	MESH:D017091
DOID:0060182	MESH:D046728
DOID:0060183	MESH:D046729
DOID:0060184	MESH:D046730
DOID:0060185	MESH:D004761
DOID:0060189	MESH:D007079
DOID:0060192	MESH:D003424
DOID:0060215	MESH:D002549
DOID:0060216	MESH:D055952
DOID:0060218	MESH:D017675
DOID:0060224	MESH:D001281
DOID:0060226	MESH:C538186
DOID:0060227	MESH:C538225
DOID:0060230	MESH:C536275
DOID:0060234	MESH:C563187
DOID:0060235	MESH:C535589
DOID:0060236	MESH:C562584
DOID:0060236	MESH:C566358
DOID:0060237	MESH:C536681
DOID:0060238	MESH:C536530
DOID:0060239	MESH:C536528
DOID:0060239	MESH:C563529
DOID:0060240	MESH:563466
DOID:0060241	MESH:C535314
DOID:0060241	MESH:C535725
DOID:0060242	MESH:C538153
DOID:0060243	MESH:D013342
DOID:0060246	MESH:C536029
DOID:0060247	MESH:C564589
DOID:0060248	MESH:C537340
DOID:0060249	MESH:D012600
DOID:0060251	MESH:C537525
DOID:0060252	MESH:C565209
DOID:0060254	MESH:C562492
DOID:0060256	MESH:C562924
DOID:0060257	MESH:C535729
DOID:0060258	MESH:C562924
DOID:0060260	MESH:D001763
DOID:0060262	MESH:D005705
DOID:0060263	MESH:D065708
DOID:0060264	MESH:C580383
DOID:0060267	MESH:C564738
DOID:0060268	MESH:C567325
DOID:0060269	MESH:C567324
DOID:0060272	MESH:C548072
DOID:0060273	MESH:C536716
DOID:0060274	MESH:C537745
DOID:0060275	MESH:C548074
DOID:0060280	MESH:C566469
DOID:0060280	MESH:C566472
DOID:0060282	MESH:D054514
DOID:0060284	MESH:D006457
DOID:0060285	MESH:C566826
DOID:0060288	MESH:C537746
DOID:0060288	MESH:C567664
DOID:0060289	MESH:C536232
DOID:0060290	MESH:C536717
DOID:0060291	MESH:C563160
DOID:0060292	MESH:C002806
DOID:0060294	MESH:C536214
DOID:0060296	MESH:C536210
DOID:0060304	MESH:C535730
DOID:0060305	MESH:C562829
DOID:0060306	MESH:C538012
DOID:0060312	MESH:D002613
DOID:0060313	MESH:C557675
DOID:0060315	MESH:D017733
DOID:0060316	MESH:D009958
DOID:0060317	MESH:D008169
DOID:0060318	MESH:D015473
DOID:0060319	MESH:D006323
DOID:0060320	MESH:D006552
DOID:0060321	MESH:D006554
DOID:0060322	MESH:D008417
DOID:0060326	MESH:D008591
DOID:0060327	MESH:D006554
DOID:0060329	MESH:D011271
DOID:0060336	MESH:C579867
DOID:0060337	MESH:C537943
DOID:0060345	MESH:D016917
DOID:0060346	MESH:C538343
DOID:0060347	MESH:C563159
DOID:0060348	MESH:C537157
DOID:0060349	MESH:C537711
DOID:0060350	MESH:C538228
DOID:0060352	MESH:C563043
DOID:0060354	MESH:C566108
DOID:0060356	MESH:C535566
DOID:0060357	MESH:C535460
DOID:0060358	MESH:D054069
DOID:0060359	MESH:C537227
DOID:0060360	MESH:C566323
DOID:0060362	MESH:C535653
DOID:0060364	MESH:C537548
DOID:0060366	MESH:C537255
DOID:0060373	MESH:C557817
DOID:0060374	MESH:C537133
DOID:0060375	MESH:C557819
DOID:0060376	MESH:C536531
DOID:0060377	MESH:C563104
DOID:0060378	MESH:C557820
DOID:0060380	MESH:C563491
DOID:0060381	MESH:C557821
DOID:0060382	MESH:C557818
DOID:0060383	MESH:C538183
DOID:0060384	MESH:C538182
DOID:0060385	MESH:C538185
DOID:0060386	MESH:C535924
DOID:0060387	MESH:C537914
DOID:0060389	MESH:C567385
DOID:0060390	MESH:C567182
DOID:0060393	MESH:C557830
DOID:0060394	MESH:C567439
DOID:0060395	MESH:C579849
DOID:0060397	MESH:C567232
DOID:0060402	MESH:D054221
DOID:0060406	MESH:C538309
DOID:0060407	MESH:C536580
DOID:0060408	MESH:C567810
DOID:0060410	MESH:C535362
DOID:0060418	MESH:C536808
DOID:0060419	MESH:C567184
DOID:0060438	MESH:C535963
DOID:0060439	MESH:C562687
DOID:0060444	MESH:C535474
DOID:0060445	MESH:C566452
DOID:0060446	MESH:C567587
DOID:0060447	MESH:C535477
DOID:0060448	MESH:C563256
DOID:0060449	MESH:C535480
DOID:0060450	MESH:C567588
DOID:0060451	MESH:D053559
DOID:0060452	MESH:C567546
DOID:0060453	MESH:C535476
DOID:0060454	MESH:C567547
DOID:0060455	MESH:C535942
DOID:0060456	MESH:C535475
DOID:0060457	MESH:C562745
DOID:0060459	MESH:C567626
DOID:0060462	MESH:C535943
DOID:0060464	MESH:C537734
DOID:0060465	MESH:C562524
DOID:0060466	MESH:C562884
DOID:0060468	MESH:C535326
DOID:0060471	MESH:C536525
DOID:0060472	MESH:C536321
DOID:0060473	MESH:C537705
DOID:0060476	MESH:C536399
DOID:0060478	MESH:D000071243
DOID:0060479	MESH:C537330
DOID:0060481	MESH:C537279
DOID:0060482	MESH:C567416
DOID:0060484	MESH:C557674
DOID:0060485	MESH:C536990
DOID:0060486	MESH:C566822
DOID:0060488	MESH:C537403
DOID:0060490	MESH:C536629
DOID:0060491	MESH:C563702
DOID:0060536	MESH:C537475
DOID:0060537	MESH:C565375
DOID:0060538	MESH:D055665
DOID:0060549	MESH:C537908
DOID:0060550	MESH:C535557
DOID:0060556	MESH:C537177
DOID:0060559	MESH:C537194
DOID:0060560	MESH:C564369
DOID:0060561	MESH:C580047
DOID:0060562	MESH:D063748
DOID:0060563	MESH:C566815
DOID:0060565	MESH:C535313
DOID:0060566	MESH:C535327
DOID:0060567	MESH:C535509
DOID:0060569	MESH:C535572
DOID:0060570	MESH:D014381
DOID:0060573	MESH:D056725
DOID:0060574	MESH:D056728
DOID:0060589	MESH:C536719
DOID:0060590	MESH:C567043
DOID:0060591	MESH:C536697
DOID:0060597	MESH:D054438
DOID:0060599	MESH:C538336
DOID:0060600	MESH:C536446
DOID:0060604	MESH:C562396
DOID:0060610	MESH:C536138
DOID:0060614	MESH:C536937
DOID:0060640	MESH:C535737
DOID:0060650	MESH:C536171
DOID:0060673	MESH:C537884
DOID:0060680	MESH:C563184
DOID:0060688	MESH:D002538
DOID:0060693	MESH:C563156
DOID:0060694	MESH:C563363
DOID:0060696	MESH:D000071017
DOID:0060703	MESH:C537369
DOID:0060744	MESH:C536648
DOID:0060799	MESH:C537723
DOID:0060801	MESH:C537451
DOID:0060808	MESH:C537449
DOID:0060812	MESH:C537333
DOID:0060815	MESH:C537472
DOID:0060818	MESH:C535556
DOID:0060821	MESH:C537923
DOID:0060825	MESH:C537450
DOID:0060832	MESH:C537301
DOID:0060833	MESH:C537302
DOID:0060834	MESH:C537303
DOID:0060844	MESH:C537849
DOID:0060847	MESH:C537119
DOID:0060849	MESH:C536063
DOID:0060850	MESH:C536376
DOID:0060852	MESH:C537185
DOID:0060853	MESH:C536578
DOID:0060854	MESH:D011546
DOID:0060855	MESH:D011546
DOID:0060857	MESH:D025962
DOID:0060877	MESH:D053560
DOID:0060886	MESH:C536053
DOID:0060889	MESH:D011535
DOID:0060901	MESH:D008258
DOID:0060902	MESH:C537848
DOID:0070143	MESH:C535990
DOID:0070145	MESH:D000699
DOID:0080001	MESH:D001847
DOID:0080011	MESH:D001862
DOID:0080158	MESH:D007635
DOID:0080158	MESH:D016849
DOID:0080159	MESH:D016919
DOID:0080160	MESH:D017726
DOID:0080161	MESH:D002179
DOID:0080162	MESH:D008181
DOID:0080176	MESH:D008585
DOID:0080177	MESH:D006504
DOID:0080178	MESH:D052016
DOID:0080179	MESH:D008583
DOID:0080202	MESH:D003528
DOID:0090019	MESH:C537345
DOID:0090028	MESH:C535393
DOID:0090106	MESH:C535325
DOID:0090112	MESH:C536329
DOID:0090117	MESH:C536510
DOID:0090118	MESH:C535982
DOID:0090119	MESH:C535289
DOID:0090121	MESH:C537422
DOID:0090121	MESH:D043204
DOID:0090124	MESH:C536614
DOID:0090142	MESH:C535408
DOID:0090144	MESH:C536390
DOID:0090145	MESH:C535600
DOID:0110633	MESH:C535683
DOID:0110734	MESH:C538421
DOID:0110737	MESH:C548080
DOID:0110861	MESH:D016891
DOID:0110861	MESH:D017044
DOID:0110937	MESH:C536056
DOID:0110965	MESH:C537089
DOID:0110968	MESH:C537092
DOID:0110970	MESH:C537093
DOID:0110973	MESH:C535914
DOID:0111028	MESH:C537249
DOID:0111030	MESH:C537248
DOID:0111034	MESH:C537247
DOID:0111044	MESH:D055652
DOID:0111049	MESH:D055652
DOID:0111050	MESH:C536260
DOID:0111054	MESH:D056729
