GO_0008974	R01523
GO_0008789	R01540
GO_0008673	R01541
GO_0008909	R01717
GO_0008938	R01721
GO_0008977	R01728
GO_0009702	R01754
GO_0008733	R01761
GO_0008899	R01777
GO_0008715	R01797
GO_0008444	R01801
GO_0008747	R01811
GO_0008131	R01853
GO_0008832	R01856
GO_0008910	R01888
GO_0008949	R01908
GO_0008735	R01925
GO_0008966	R02060
GO_0009905	R02068
GO_0008127	R02156
GO_0008177	R02164
GO_0009012	R02226
GO_0008738	R02262
GO_0008116	R02267
GO_0008840	R02292
GO_0008879	R02328
GO_0008336	R02397
GO_0008740	R02437
GO_0008866	R02454
GO_0008677	R02472
GO_0009026	R02555
GO_0008801	R02728
GO_0009014	R02734
GO_0008837	R02735
GO_0008831	R02777
GO_0008764	R02783
GO_0008765	R02788
GO_0008709	R02792
GO_0008869	R03033
GO_0008908	R03037
GO_0008811	R03065
GO_0008763	R03193
GO_0008710	R03210
GO_0008737	R03241
GO_0008676	R03254
GO_0008687	R03303
GO_0008671	R03387
GO_0008440	R03433
GO_0008703	R03458
GO_0008835	R03459
GO_0008902	R03471
GO_0008904	R03770
GO_0008458	R03779
GO_0009496	R03817
GO_0008756	R04030
GO_0009824	R04038
GO_0008883	R04109
GO_0008939	R04148
GO_0008935	R04150
GO_0009015	R04189
GO_0008666	R04365
GO_0008697	R04383
GO_0008771	R04449
GO_0009016	R04475
GO_0008915	R04606
GO_0009029	R04657
GO_0008124	R04734
GO_0009899	R05092
GO_0008712	R05176
GO_0008820	R05222
GO_0008696	R05553
GO_0008927	R05606
GO_0008867	R05608
GO_0008661	R05636
GO_0008685	R05637
GO_0008486	R05777
GO_0008742	R05850
GO_0008424	R05988
GO_0008460	R06513
GO_0008830	R06514
GO_0008688	R06786
GO_0010301	R06954
GO_0010293	R06957
GO_0010295	R07202
GO_0009815	R07214
GO_0008686	R07281
GO_0008922	R07325
GO_0008753	R07359
GO_0010308	R07363
GO_0010309	R07364
GO_0010176	R07500
GO_0010285	R07613
GO_0018490	R00042
GO_0016692	R00090
GO_0016040	R00093
GO_0016847	R00179
GO_0017168	R00251
GO_0016966	R00294
GO_0018773	R00324
GO_0019157	R00360
GO_0017174	R00367
GO_0016156	R00402
GO_0019154	R00476
GO_0017188	R00487
GO_0017103	R00502
GO_0018738	R00527
GO_0018834	R00603
GO_0018467	R00604
GO_0018111	R00655
GO_0018820	R00778
GO_0017172	R00893
GO_0019142	R00932
GO_0016155	R00941
GO_0018672	R00980
GO_0018860	R00982
GO_0016287	R01013
GO_0015049	R01142
GO_0015049	R01143
GO_0019164	R01196
GO_0018799	R01238
GO_0018112	R01255
GO_0019160	R01270
GO_0018664	R01295
GO_0018859	R01300
GO_0018739	R01301
GO_0018690	R01306
GO_0018858	R01422
GO_0016995	R01459
GO_0018114	R01467
GO_0019146	R01530
GO_0016980	R01566
GO_0016207	R01616
GO_0018668	R01628
GO_0018621	R01636
GO_0019162	R01713
GO_0017057	R02035
GO_0019165	R02134
GO_0019727	R02246
GO_0019726	R02247
GO_0019152	R02343
GO_0018522	R02451
GO_0018674	R02469
GO_0018676	R02470
GO_0018789	R02564
GO_0018669	R02589
GO_0018846	R02615
GO_0018660	R02698
GO_0016152	R02807
GO_0018661	R02830
GO_0018465	R02877
GO_0016153	R02914
GO_0017159	R02973
GO_0018493	R03015
GO_0018601	R03023
GO_0018801	R03028
GO_0018459	R03114
GO_0016871	R03200
GO_0018531	R03202
GO_0019797	R03218
GO_0018798	R03247
GO_0018458	R03261
GO_0018622	R03306
