10	206797_at
100	204639_at
100	216705_s_at
1000	203440_at
1000	203441_s_at
10000	212607_at
10000	212609_s_at
10000	219393_s_at
100008586	206640_x_at
100008586	207086_x_at
100008586	207663_x_at
100008586	207739_s_at
100008586	208155_x_at
100008586	208235_x_at
10001	207079_s_at
10001	210104_at
10002	208385_at
10003	222161_at
100037417	202929_s_at
10004	207895_at
10005	204212_at
10006	209027_s_at
10006	209028_s_at
10007	202382_s_at
10009	214631_at
1001	203256_at
10010	207616_s_at
10010	209451_at
10010	210458_s_at
100101267	212178_s_at
100101267	213360_s_at
100101629	206640_x_at
100101629	207086_x_at
100101629	207663_x_at
100101629	207739_s_at
100101629	208155_x_at
100101629	208235_x_at
10011	204650_s_at
100128124	211111_at
100128553	214355_x_at
100128553	215549_x_at
100129128	220513_at
100129271	217087_at
10013	206846_s_at
10013	216224_s_at
100130086	220314_at
100130932	205644_s_at
100130958	203644_s_at
100132247	211996_s_at
100132285	208179_x_at
100132399	206640_x_at
100132399	207086_x_at
100132399	207663_x_at
100132399	207739_s_at
100132399	208155_x_at
100132399	208235_x_at
100132406	201104_x_at
100132406	214693_x_at
100132406	215434_x_at
100132476	216810_at
100133171	220921_at
100133171	220922_s_at
100133941	208650_s_at
100133941	209772_s_at
100137047	222256_s_at
100137049	219095_at
100137049	60528_at
10014	202455_at
10015	217746_s_at
10016	203415_at
10017	221320_at
10018	208536_s_at
10018	222343_at
100188893	218233_s_at
10019	203320_at
1002	206866_at
10020	205042_at
10021	206946_at
10022	221091_at
10023	219889_at
10024	204649_at
10025	221418_s_at
10025	221544_s_at
10025	221545_x_at
10025	221938_x_at
10025	43544_at
10026	209707_at
100271849	205124_at
100272147	205106_at
100272147	210212_x_at
100272147	216862_s_at
1003	204677_at
10036	203975_s_at
10036	203976_s_at
10036	214426_x_at
10038	204752_x_at
10038	214086_s_at
10038	215773_x_at
10039	209940_at
1004	205532_s_at
1004	205533_s_at
1004	210602_s_at
1004	214803_at
10040	204485_s_at
10042	212596_s_at
10042	212597_s_at
10043	202807_s_at
10045	219513_s_at
10046	205088_at
10047	220627_at
10048	202582_s_at
10048	202583_s_at
10048	216125_s_at
10049	208810_at
10049	208811_s_at
10049	209015_s_at
1005	220679_s_at
10050	207051_at
10051	201663_s_at
10051	201664_at
10052	208460_at
10053	218261_at
10053	65517_at
10054	201177_s_at
10055	217946_s_at
10057	209380_s_at
10058	203192_at
10059	203105_s_at
1006	210518_at
10060	208462_s_at
10060	208561_at
