CHEMBL2749	P05622
CHEMBL1827	O76074
CHEMBL217	P14416
CHEMBL203	P00533
CHEMBL3286	P00749
CHEMBL1860	P10827
CHEMBL216	P11229
CHEMBL3394	Q6B856
CHEMBL1913	P09619
CHEMBL3991	P08709
