HUMAN29523	ENSG00000198712
HUMAN29527	ENSG00000198840
HUMAN29525	ENSG00000198899
HUMAN29526	ENSG00000198938
HUMAN29528	ENSG00000212907
HUMAN29524	ENSG00000228253
HUMAN29521	ENSG00000198763
HUMAN29522	ENSG00000198804
HUMAN00574	ENSG00000000938
HUMAN00488	ENSG00000001460
