ENSAPOP00000027737	ENSAPOT00000000435
ENSAPOP00000007164	ENSAPOT00000005416
ENSAPOP00000005713	ENSAPOT00000007892
ENSAPOP00000000131	ENSAPOT00000017393
ENSAPEP00000000135	ENSAPET00000000137
ENSAPEP00000000136	ENSAPET00000000138
ENSAPEP00000000137	ENSAPET00000000139
ENSAPEP00000000138	ENSAPET00000000140
ENSAPLP00000006319	ENSAPLT00000006962
ENSAPLP00000010405	ENSAPLT00000011118
