DB00001	CHEMBL1201666
DB00002	CHEMBL1201577
DB00003	CHEMBL1201431
DB00004	CHEMBL1201550
DB00005	CHEMBL1201572
DB00006	CHEMBL2103749
DB00007	CHEMBL1201199
DB00008	CHEMBL1201560
DB00009	CHEMBL1201593
DB00011	CHEMBL2108509
