56947150	34970
104896	80634
17249	35009
31260	15837
177893	4967
193405	3456
14210	38730
6917852	76167
140151	33153
15595751	67937
442874	9165
25242323	77752
8667	38213
21593934	68216
444706	62748
53465640	69863
5281406	4324
6857579	33446
56833859	68922
24970395	65995
7843	37808
21599924	77151
5459790	15593
5461129	11955
9548675	36679
439403	17508
6857482	35707
6441280	15937
9261	30953
72871	64437
251575	2821
25016410	65498
7503	615597
5461014	32370
7742	89744
115067	80828
440370	16068
101030	68076
159271	73041
11966197	28726
6857510	35567
6857569	33740
9548669	37448
11966314	11805
4584184	16723
440394	15953
137294	37520
6857637	30255
12001894	71171
10328286	66227
444084	33054
10387631	66641
5315393	66492
24796588	66698
446925	15948
6419720	35304
135510645	26376
6857509	35599
7009616	73832
439322	16753
5282251	36662
6363	15739
5366546	34839
160602	60067
8259	28094
6993105	74051
33558	40910
85154	34405
53322219	70061
253877	32030
50908215	70263
227673	62848
51042413	70042
9559	55319
5289590	17140
5460690	33831
6857673	29394
5460364	28644
5460743	33040
9548798	36232
5460550	29932
5460801	32810
7582	34694
2762680	72443
227677	79831
101595	10019
21725807	5358
53235510	63451
52936751	67779
54582218	68098
7977	39174
54581064	68036
52951499	67815
16129675	59219
160531	83865
5280893	15628
20299	9701
56600876	69708
53359351	68125
11065379	67431
