Q48935	CHEMBL1795187
P56218	CHEMBL4857
O26232	CHEMBL5688
Q50565	CHEMBL3926
P40881	CHEMBL3932
P9WKK7	CHEMBL1667699
P9WKI7	CHEMBL4295586
P9WHQ9	CHEMBL4295584
P9WQG9	CHEMBL3708053
P9WPJ7	CHEMBL5631
